mfccs1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfccs11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfccs21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfccs31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,label
-65.056112625,83.1540223045,-37.0512992779,2.87320992767,-44.0163232329,-12.8780995844,12.8143243474,-19.4137586586,-30.8226670866,7.43013779417,1.11901150963,-20.6951275536,-0.395173547923,11.542791769,-17.5706328473,-2.12638753225,-24.1991384819,1.16000903512,5.09468028894,-18.8536642354,10.2269002379,-0.456987305866,-4.0104555557,-1.07664832985,-2.01788860833,6.37288643595,-8.30471482095,2.19156132524,-6.80786280874,14.2414391401,-15.7162078801,6.93714390051,-2.11226422366,-1.11797006951,-3.37691374482,-4.17157533273,0.251198191447,-1.28541462617,-8.34065968137,0.576586343091,1
-138.089836689,86.4815719971,-38.6451215765,10.8478412828,-37.9373093892,-7.73495089703,14.3132421972,-15.6077520067,-20.2652666323,7.4004635348,3.92260087653,-18.1221883424,-8.9264974081,10.2085727251,-18.2146638766,4.47598376878,-20.5651510606,1.96201560323,2.58336198286,-23.1388118247,11.949410953,-5.36240923968,-3.27567495318,-3.00804606243,-7.08601580529,6.21044641399,-12.2495959372,2.07827869049,-8.56538394521,10.4754533349,-14.9329554384,3.72944728047,-0.303247778596,-2.07632519554,-0.380270347266,-3.64627402748,2.83162654748,2.45857248318,-9.49386550816,4.50600717219,1
-122.628597016,89.3272962785,-47.3052607608,7.50446263293,-34.1245971712,-10.5219080456,10.062885526,-12.0428167365,-25.8895011317,10.0380007576,1.45058895908,-19.5677507666,-5.85095108505,3.898777875,-16.0089028272,5.93639345027,-16.9729106508,-0.115878815021,1.66218390093,-21.6035096689,9.89373622138,-5.96985392533,-3.68650265178,-2.1954087974,-5.84561868292,1.53932198755,-7.78615118447,0.485303634429,-8.95556249425,9.77281536487,-15.9318582847,8.17990842337,-5.57488617572,1.42150592824,-3.99812268869,-2.70606759442,-3.79987024436,1.42263422891,-10.168954574,4.75383315433,1
-125.58310996,91.6817321377,-53.1054128431,6.51240202816,-33.8630248957,-11.4332746835,8.14795078054,-10.5716839317,-24.2684100043,12.6058735179,4.68692906213,-16.9968875234,-2.12266825006,3.97334841533,-13.1085018717,3.79509968938,-15.6768557416,-2.51897570373,0.627274770915,-20.286663587,4.95772605818,-6.23070691348,-7.01932041892,-1.27789520292,-4.05696938852,0.245835626977,-6.66275169732,1.27329262838,-9.87940284499,9.41939658386,-15.2712243292,7.6452211198,-5.54062993997,2.34764439938,-4.07786204401,1.715184561,-5.6909597414,1.17209967704,-9.65842032941,2.75497707726,1
-156.645594142,88.8579544059,-39.1328138228,12.0907737562,-41.9741971751,-1.51777005118,10.8480333362,-12.5866959082,-20.4775827929,10.1497156846,6.06077321411,-19.7183466758,-7.02384847443,7.37782679315,-14.2799305973,4.89152076313,-17.8174589769,2.41856838681,-0.0783998837339,-23.4863008787,7.15217380084,-3.1114233423,-5.4338333436,-2.8279381248,-4.96921430169,5.28064281155,-9.91808959984,-0.137415120047,-7.27293147782,9.29051354363,-13.2223365415,3.68885053555,1.15794694685,-0.857444636255,-1.46997220707,-4.55818480707,1.53494433367,-0.650274685343,-9.39519294891,2.22187715496,1
-137.222153391,96.923316103,-54.0747128729,8.37335272891,-35.6707000744,-9.18733531084,7.22606980716,-8.20449697648,-20.2307705861,10.3315112538,4.15704922664,-18.0504567042,-2.54849384382,4.42603442178,-14.0315487407,5.04403724932,-20.0564942911,-1.97300680363,-2.73366767066,-19.5065838048,7.36226293167,-6.80801266246,-4.54721962431,-2.33097325112,-6.00269705325,1.39053164894,-6.58865413444,1.16650945705,-9.18192991916,8.16057123304,-13.9284836484,9.03626590919,-5.98008271375,2.8422630321,-1.91570261486,-0.604179877505,-1.5007012806,2.04846764976,-8.13589327197,4.01690719214,1
-290.238952605,79.5361951869,-41.5659866957,6.99115152884,-18.3050416893,-15.4006119306,9.06317801347,-4.63217563391,-21.7713088084,7.50448487942,0.606974377859,-19.5194830472,-0.927516102947,1.5371686352,-10.4583886546,7.21804893925,-12.6071836047,-2.19273418641,-0.293922552825,-15.650431812,7.54368576194,-4.2946731476,-2.2440944809,-2.75746337929,-2.60048841297,-2.55401078393,-0.914257050531,-1.63516922435,-7.80981600799,7.38244451625,-13.5269640352,11.1524143624,-5.96254683652,3.85925304098,-0.598983067597,-0.997591283718,-1.49596485712,0.754622545785,-6.63327349382,3.4994510021,1
-59.7882404157,87.8247155022,-44.3645652279,5.50780597435,-41.2936565573,-11.1056974349,13.5006934099,-23.8346376018,-21.9651342138,2.83336024752,0.317316338357,-16.4557172098,-7.26056896695,14.8490960929,-22.3849667699,4.42367376709,-24.7314834154,0.9520040434,6.11746699454,-19.7254663382,13.7838901825,-6.25087739512,-1.60966844918,-1.81727926721,-2.70907666566,7.33693652297,-12.8312678054,6.99239171326,-11.4136780319,14.8901265866,-15.9239476292,5.25500595919,-3.87383517094,-3.57132087309,-1.30033918419,-4.07622460778,1.31377640495,-1.62137175609,-7.18669950986,1.95030283196,1
-57.1167993207,88.5081775805,-50.1058999291,1.85837032412,-34.7334816028,-14.2975777023,12.3645007465,-19.8517632436,-18.8618770598,-0.861458937027,2.8821720967,-16.0878350516,-5.81226403725,12.7109792713,-22.2487732056,7.66405555098,-26.0422960481,-3.13099468328,6.58104146108,-22.0364491692,16.5982436179,-10.7848996123,0.0103471954856,-1.27107808707,-3.62653495544,5.12245108388,-10.3241951121,7.99528107992,-11.8887935062,14.2900817747,-13.1779775301,5.86803561982,-4.77396804639,-5.04803045323,0.711982219215,-5.27923355123,-1.15100344917,-2.18535700076,-8.79917242119,3.00623899222,1
-54.3182336777,85.5999970253,-46.044290632,1.47256847423,-35.9164892798,-10.6402728015,9.54544539779,-18.0936542558,-21.3543560382,1.23470927842,3.19742861655,-17.0783404159,-5.45928586813,10.8007777692,-19.7798267873,4.94255148798,-22.7048276363,-3.2717291458,4.54818622575,-19.5820207812,14.4886554418,-7.00722112058,-1.85877114887,-1.60688498869,-3.37503655396,4.36820635245,-9.56604587553,6.73554947563,-10.4285980303,13.2962497181,-13.080404557,4.48737584396,-6.15768720287,-3.64775671975,-1.70456964682,-3.43712144534,-0.593243946603,-2.8707149806,-6.28257990936,0.353753982551,1
-71.9553094212,87.3113426134,-42.3852803962,-0.689691770299,-34.171926299,-11.3966204087,9.63049454067,-16.2058375062,-22.4712259848,2.93211385039,2.01178959159,-18.7284713425,-6.21271549461,9.88873006397,-18.7899043163,7.92989615903,-19.4650398979,-1.36545504493,4.49567140563,-22.5314613517,11.99471045,-7.08116547111,-3.37732872342,-2.07909733931,-3.42254247527,3.12900408779,-9.20952667212,4.70567096587,-10.6429054469,13.4561824917,-16.3926676532,6.94379000925,-5.01565278834,-2.42262840847,-2.12489490477,-3.83697368354,-1.67244217761,-3.01387236825,-10.5552179296,0.915163958157,1
-75.9567486049,86.537952671,-40.1001047083,7.11029005084,-38.6404462254,-11.0170634163,9.98055241384,-22.8966314902,-19.4146627786,0.343045803684,2.20717498126,-18.0176101801,-7.84613662278,12.0235619984,-19.2743654586,6.26171228099,-19.3522244614,-3.28931112495,5.55467588062,-23.6237834188,15.3375505924,-7.82807417553,-3.5474409623,-2.59217353271,-7.49257209525,4.87437677832,-14.1847397698,5.29885906814,-10.683322619,10.9958410538,-11.304801674,3.01374422131,-0.440000596678,-5.90259191399,-1.28986334405,-4.52114121609,0.0675938186198,0.143705531513,-9.60954177765,5.32577527396,1
-119.605104257,86.8012992827,-34.768252717,0.112000240251,-35.2364802651,-8.39993750821,14.2689723466,-16.1662403378,-22.1638928885,9.13898453865,4.48504796689,-19.8143703891,-4.25061346593,11.7601494298,-13.4667059626,3.64093405352,-20.2237642556,-2.25659515065,6.18273702781,-27.1731486397,14.0503754668,-4.52939452986,-7.79222809976,1.55505996479,-9.72121849098,10.1100645595,-15.0585154528,4.2986456981,-12.0991468696,11.797250685,-17.9412998934,4.14080877739,-0.0238460638214,-4.03048223359,-0.930584624265,-4.09446321933,0.230269416662,1.94323985955,-11.3909926854,7.32182278276,1
-122.4106021,83.2472606072,-38.0606862228,8.87874725368,-42.3917234668,-10.17528412,20.9751724773,-19.931670833,-18.4204272089,13.6223485288,0.505367016969,-14.2440444668,-10.8667050595,15.4267323187,-18.781197383,3.74154190401,-21.1737790575,-1.48587156325,3.41772186712,-25.1209448434,13.7917003465,-6.70521785826,-4.75671136345,-4.96836057579,-5.32207856631,6.5848769288,-12.8991877198,5.83014854069,-11.4886486914,13.9693561679,-16.3547712385,4.14974003299,1.34489775269,-2.34129253267,-2.09539734854,-1.26298816507,1.45017943375,0.31380312564,-9.89508208035,4.07723589294,1
-137.102446036,81.2417586453,-36.0741257718,1.75039965953,-37.1794995395,-7.42641658624,16.9444847473,-10.9968057352,-22.0527631198,15.466673596,4.13694431746,-15.3661104799,-8.22413648778,8.75674747697,-16.0277846454,2.2102456221,-17.6149019638,0.45191054176,1.62848588559,-25.7184620562,10.9503457709,-3.71687417276,-6.43102956366,-1.45887534442,-4.96726279869,7.63711658177,-12.4862091118,2.69859694784,-11.8835817863,12.0380782322,-18.6245013553,5.11250911071,0.559883203052,-0.366733442356,-2.46507126937,-1.72403970239,-0.277764668484,1.4021560391,-10.2441330809,3.34073880661,1
-336.327557388,-1.71474512281,16.0215808704,13.8724042816,6.6627295167,15.6170656953,3.11769679746,13.4563409527,0.318449173349,-1.33267489398,1.56654926993,4.53559326204,5.01152811702,-1.63430071744,-5.00434430636,2.59494891793,-2.98266957919,2.15344499572,-0.580934002913,-2.22680413765,-4.52673532451,0.38003703245,-4.85755012121,-0.102470671583,-5.47490071626,-0.883087899302,-5.05740834539,-1.22645617951,-3.13628208694,-1.20481904997,-3.51720094054,-0.717651859975,-2.90023183158,-0.305983148182,-2.90586964316,-1.23573794461,-2.99136409749,-1.46425388397,-3.34685294182,-0.153291009498,1
-350.300931082,85.4403903573,12.1483248475,16.4885024278,-12.1190160141,15.2515897375,2.04321193868,4.21143081116,4.36724611843,6.20639677471,3.96318876519,4.00300568217,4.08759911544,4.73920217196,-3.23639423424,10.9349958168,-7.11041064299,9.393170306,-1.42908098459,1.66677661222,4.79241853626,-0.277729437456,1.98753061506,3.90085581232,-4.20409430517,7.02999905183,-6.4331298731,4.18772819112,-3.94009814986,-2.71446795305,-3.15987216407,-2.56528147389,-0.324378854982,5.99232110128,6.22274088609,11.4404320047,3.15907684991,7.96811985067,-2.10016664875,3.91771406386,1
-329.888887682,-8.08136413876,25.5713128859,4.13960937899,-21.401491532,4.20692096873,-9.67063652794,-4.06100195662,-6.43976694828,1.66669425542,-24.0699137319,-7.29877113608,-10.806068942,-13.7615253948,-15.0075465109,-7.76249975281,-10.0019557227,-2.89106150826,-4.61702142801,-12.9189800272,-17.2220162765,-7.65656086326,-13.0457427573,-5.23932479773,-8.40125209748,-5.50380270493,-8.25220533628,-4.03803937512,-9.495214292,-2.85376385458,-1.32071103749,-1.90755853209,-0.220621791418,4.04391111889,4.26575138145,1.99969659636,-3.62593253536,2.8228952496,-3.17268895359,-0.568680325341,1
-129.527755848,52.5117714948,6.91119311044,-2.38103665716,-1.21048469292,9.20776413962,11.0815520288,10.3086079724,1.93037882794,5.40983101146,-2.2490748177,8.127402015,2.06859500597,4.60715658399,-2.39224264996,9.03281931321,-2.31081280557,8.17971796223,1.2445708416,2.43536458301,1.46758700604,2.93757926579,-2.37610100527,5.1559952789,0.329098724833,5.13462050525,-0.70326413405,2.55314579914,-5.33921139354,-0.85646948513,-6.53289929875,-5.01325272226,-6.23004400933,-3.82770936658,-3.33962063933,6.3797611116,4.79339204474,14.5801046339,10.3426541218,12.5036841691,1
-156.898765006,81.4375797944,-37.0010840537,2.16691097802,-16.5856042682,3.52333173659,-9.43489053949,-2.78085656023,-5.70367229828,1.37061986057,-7.21811143752,3.85567519282,-6.56731698224,0.903016592644,-6.3412946181,0.281626789675,-6.54345592673,0.670187801328,-5.09440950908,0.297948530943,-5.314440898,0.310235936836,-5.11447644966,0.266828962702,-5.31884713184,-0.145895502996,-5.02126691267,-0.711735013769,-4.59204528317,0.313890223188,-4.9597913992,-0.112661793273,-4.83520681448,-0.366778188204,-5.73103589502,-0.199393695373,-5.86344216195,-1.41779848797,-5.09792617414,-1.68112156168,1
-285.73445394,94.4209054434,17.9168280707,12.2533769444,-17.3120733158,8.13712154655,0.309325128548,2.25309890548,3.66254936929,1.14499839479,1.71694981822,0.388893449767,3.70307986341,1.94509630277,-1.50902181441,7.57746638854,-7.62938883163,7.45908660018,0.108452529112,-1.07032895938,6.61404788372,-1.90618320231,2.03785850745,3.41573516582,-5.6434808728,4.44155818559,-6.39432801607,1.47880247537,-4.21259566388,-3.47843313937,-3.87075952908,-5.42100314786,-2.63538849757,0.548792349669,2.96649241876,10.9849022199,5.19063952229,11.8383191923,2.66574988966,3.13252488392,1
-369.230712986,112.00717358,18.7112765586,12.7204338095,-13.8900498644,12.3530252463,3.46585765308,6.33981522866,2.07390715575,4.66416866161,0.931858811275,0.680267290689,5.27923762453,2.95811635833,-3.16510662726,11.3760338015,-7.58840806284,9.29711305414,1.90822095531,-0.507232142845,6.74252311509,0.46206669443,1.74106384106,4.76366238566,-3.47262948187,4.57447459895,-3.39021733356,4.38887805802,-2.04349751567,0.337706824999,-3.51212470185,-4.54258267382,-3.74788204821,-0.681396050027,-0.926829177918,9.77326965741,3.9849789807,12.4275118469,3.86249165391,3.17936714101,1
-237.178297618,63.9015002344,-24.4757464313,10.0119242167,-10.6905660591,0.433000191761,-9.13554390477,4.05400481431,-2.6824425713,1.56240922217,-2.65916017633,6.0030437069,-3.85562922281,2.12471654748,-1.80365152941,3.67917789863,-2.3575357731,3.75759391334,-1.96946280185,3.04690653865,-0.896008066805,3.96586762277,-2.07453418445,3.41433396701,-2.66020326163,3.46377859072,-1.01222559692,2.97413405448,-1.15918845468,2.98977749579,-2.35072920605,0.829762014026,-3.01430883984,0.283833333882,-4.17007179411,1.1329253691,-2.27379761056,0.912591843201,-1.63705859767,0.57594191014,1
-249.855636501,84.6514124137,-15.9859416719,20.7326682507,1.02977175911,17.680777608,2.41724954108,15.5724952347,-5.19033739284,13.944226118,-2.8239816582,9.70944357302,-3.27592599213,3.62630741417,-1.09043559658,1.56648134948,-1.25214415553,3.81757510579,-3.15283885628,2.91460325727,-2.50858185029,2.76059832659,-3.15304463623,3.42074018194,-2.31005570941,2.03637405116,-2.29787741247,3.17593606278,-2.59096747815,2.54332412189,-1.80440506185,2.2936287353,-1.44259264606,3.16857245577,-0.371886346329,2.80134578866,-0.66482881263,2.78434782502,-2.24989351435,1.89094078641,1
-284.830630259,32.9457235228,-66.9482398357,7.34636262815,-8.20325888686,8.0349349316,-1.76264619697,4.54041648224,23.2157487823,12.070918685,2.76073974973,11.2355959318,-8.80371717847,9.85831247895,-3.37303608103,7.16115427028,-10.8811256643,-12.5555280588,-1.67374552677,-5.19782126357,-7.32925595509,-5.31402220269,-0.722589041954,-0.405282842796,-0.455458668513,-8.26500938542,-11.1607349758,-2.08669981581,-1.76419069181,4.44148546667,-5.91972038541,6.30249834718,-5.27160838625,1.03251970708,-3.31394828592,2.39768422794,-0.681985646761,8.49482803195,2.72050200575,5.97915280181,1
-102.622088228,78.8049297669,-2.37909717601,16.2321640819,-5.00234475284,8.52312883149,-4.16704799167,15.0133277138,-3.83490375124,9.09594790234,-5.80193183567,-1.03370289933,-7.45666300118,-1.30270364171,1.86243655806,-3.44882250966,-2.58350307125,9.35620448306,-1.85673750712,-0.809277817332,-1.99563148212,2.21865600776,-8.63378307733,1.56694051138,-5.52897973724,-2.33430261838,-5.295286191,0.137588968464,-7.74606336897,-1.2885177243,-5.49989514965,-0.0402081776024,-5.16430474077,-1.5893789846,-5.06021747212,0.75926866626,-7.16331423528,0.206541525128,-3.40042610125,-1.74214323648,1
